Flowering Time,avg,0.458665,0.474406,0.484781,0.429359,0.457906,0.447322,0.484229,0.410653,0.419665,0.485619,0.486918,0.490396,0.490883,0.489117,0.489216,0.490266,0.488165,0.457445,0.490241,0.48604,0.512469909,,
Plant Architecture,avg,0.541177,0.568446,0.58227,0.54095,0.568647,0.567157,0.589329,0.524863,0.522837,0.584044,0.580083,0.583607,0.582255,0.583572,0.582151,0.583309,0.580659,0.548621,0.583306,0.573009,0.604053363,,
Yield,avg,0.440207,0.442444,0.465928,0.405543,0.434755,0.440126,0.462931,0.388551,0.373987,0.438769,0.455311,0.467086,0.467008,0.464634,0.466758,0.468636,0.447779,0.420756,0.468623,0.464686,0.482265,,
Flowering Time,SE,0.016307284,0.010696808,0.010991749,0.013342624,0.009784182,0.013006654,0.011637931,0.008498671,0.010533327,0.012282958,0.011210109,0.011381718,0.011861001,0.011248484,0.011413323,0.011602175,0.013943991,0.008776778,0.011609831,0.010875747,0.01095,,
Plant Architecture,SE,0.028685817,0.012635784,0.012912587,0.01065958,0.013366206,0.013709049,0.01251158,0.011844327,0.009000124,0.013398875,0.013257997,0.012466168,0.012653974,0.012697949,0.012624898,0.012583544,0.01162627,0.012791724,0.012583204,0.013080313,0.012425,,
Yield,SE,0.017609709,0.018291632,0.01462664,0.018783694,0.010362394,0.01469411,0.014092683,0.018783035,0.017388559,0.011883972,0.016329419,0.015046,0.014803005,0.015634001,0.014996153,0.014810577,0.013382352,0.015931809,0.014810946,0.014595625,0.015301352,,
,,,,,,,,,,,,,,,,,,,,,,,,
Trait,Way,DNNGP,DeepGS,DLGWAS,gmlp,LCNN,KNN,Random Forest,XGBoost,MLP,SVR,BayesA,BayesB,BayesC,BL,BRR,RRBLUP,LASSO,SPLS,RR,BRNN,GEG2P(v3),,
Flowering Time,avg,0.792087807,0.812657078,0.829309193,0.831854852,0.816833532,0.764231865,0.812430794,0.806849137,0.820369733,0.823841443,0.837312439,0.841435885,0.837797623,0.83641603,0.834137306,0.834558986,0.821351765,0.779925594,0.834404667,0.826509367,0.855219531,,
Plant Architecture,avg,0.519855773,0.761261825,0.763171733,0.774527995,0.738334943,0.718880886,0.775976833,0.760263195,0.753285674,0.781202398,0.777969848,0.778873128,0.776978793,0.771610185,0.771703384,0.770949753,0.759538175,0.705176055,0.771200868,0.741066718,0.809167,,
Yield,avg,0.633989038,0.632304001,0.648294706,0.639255787,0.601436045,0.537112186,0.629549512,0.607773269,0.633014176,0.655386966,0.660485855,0.665382969,0.663064984,0.661142729,0.65690553,0.657405916,0.670714235,0.580050501,0.656298169,0.620666831,0.706820163,,
Flowering Time,SE,0.013442384,0.012978788,0.005434875,0.004938454,0.004943958,0.010486254,0.009359294,0.007738239,0.004615325,0.006631467,0.005567157,0.00589414,0.004783108,0.004840286,0.004935372,0.00544724,0.005913428,0.007797151,0.005326966,0.005987457,0.004613,,
Plant Architecture,SE,0.035420115,0.013371268,0.013807933,0.013768579,0.009304751,0.009897769,0.011225305,0.01477551,0.019503727,0.011195744,0.010792097,0.011182686,0.012040591,0.012875441,0.012160669,0.012473575,0.009666624,0.013338987,0.012386665,0.013186556,0.011316401,,
Yield,SE,0.01505716,0.013051419,0.014452568,0.015370779,0.018492316,0.018853697,0.01361501,0.018709052,0.014287889,0.01614741,0.013588293,0.015418049,0.01343562,0.014630261,0.014201143,0.01439663,0.015751724,0.015682011,0.014368971,0.019427654,0.012239909,,
